source_id,reference_id,facility_name,subclass,country,state,latitude,longitude,status_2025,coordinate_quality,coordinate_source,source_url,review_status,review_notes
GEM_GIPT,L100000102250,Bokaro Steel City Thermal Power Station,thermal_power,India,Jharkhand,23.685875,86.092944,operating,HIGH,Global Energy Monitor Global Integrated Power Tracker,https://globalenergymonitor.org/projects/global-integrated-power-tracker,NEEDS_REVIEW,Operating India thermal-power facility from GEM GIPT. Confirm FIRMS-source association before benchmark inclusion.
GEM_GIPT,L100000102248,Bokaro Thermal Power Station,thermal_power,India,Jharkhand,23.782944,85.883391,operating,HIGH,Global Energy Monitor Global Integrated Power Tracker,https://globalenergymonitor.org/projects/global-integrated-power-tracker,NEEDS_REVIEW,Operating India thermal-power facility from GEM GIPT. Confirm FIRMS-source association before benchmark inclusion.
GEM_GIPT,L100000102085,Bongaigaon power station,thermal_power,India,Assam,26.44437,90.367205,operating,HIGH,Global Energy Monitor Global Integrated Power Tracker,https://globalenergymonitor.org/projects/global-integrated-power-tracker,NEEDS_REVIEW,Operating India thermal-power facility from GEM GIPT. Confirm FIRMS-source association before benchmark inclusion.
GEM_GIPT,L100000102085,Bongaigaon power station,thermal_power,India,Assam,26.44437,90.367205,operating,HIGH,Global Energy Monitor Global Integrated Power Tracker,https://globalenergymonitor.org/projects/global-integrated-power-tracker,NEEDS_REVIEW,Operating India thermal-power facility from GEM GIPT. Confirm FIRMS-source association before benchmark inclusion.
GEM_GIPT,L100000102085,Bongaigaon power station,thermal_power,India,Assam,26.44437,90.367205,operating,HIGH,Global Energy Monitor Global Integrated Power Tracker,https://globalenergymonitor.org/projects/global-integrated-power-tracker,NEEDS_REVIEW,Operating India thermal-power facility from GEM GIPT. Confirm FIRMS-source association before benchmark inclusion.
GEM_GIPT,L100000102665,Budge Budge Generating Station,thermal_power,India,West Bengal,22.470344,88.139949,operating,HIGH,Global Energy Monitor Global Integrated Power Tracker,https://globalenergymonitor.org/projects/global-integrated-power-tracker,NEEDS_REVIEW,Operating India thermal-power facility from GEM GIPT. Confirm FIRMS-source association before benchmark inclusion.
GEM_GIPT,L100000102665,Budge Budge Generating Station,thermal_power,India,West Bengal,22.470344,88.139949,operating,HIGH,Global Energy Monitor Global Integrated Power Tracker,https://globalenergymonitor.org/projects/global-integrated-power-tracker,NEEDS_REVIEW,Operating India thermal-power facility from GEM GIPT. Confirm FIRMS-source association before benchmark inclusion.
GEM_GIPT,L100000102665,Budge Budge Generating Station,thermal_power,India,West Bengal,22.470344,88.139949,operating,HIGH,Global Energy Monitor Global Integrated Power Tracker,https://globalenergymonitor.org/projects/global-integrated-power-tracker,NEEDS_REVIEW,Operating India thermal-power facility from GEM GIPT. Confirm FIRMS-source association before benchmark inclusion.
GEM_GIPT,L100000102387,Butibori Power Project,thermal_power,India,Maharashtra,20.928591,78.933281,operating,HIGH,Global Energy Monitor Global Integrated Power Tracker,https://globalenergymonitor.org/projects/global-integrated-power-tracker,NEEDS_REVIEW,Operating India thermal-power facility from GEM GIPT. Confirm FIRMS-source association before benchmark inclusion.
GEM_GIPT,L100000102387,Butibori Power Project,thermal_power,India,Maharashtra,20.928591,78.933281,operating,HIGH,Global Energy Monitor Global Integrated Power Tracker,https://globalenergymonitor.org/projects/global-integrated-power-tracker,NEEDS_REVIEW,Operating India thermal-power facility from GEM GIPT. Confirm FIRMS-source association before benchmark inclusion.
GEM_GIPT,L100000102095,Buxar Thermal Power Station,thermal_power,India,Bihar,25.462349,83.882568,operating,HIGH,Global Energy Monitor Global Integrated Power Tracker,https://globalenergymonitor.org/projects/global-integrated-power-tracker,NEEDS_REVIEW,Operating India thermal-power facility from GEM GIPT. Confirm FIRMS-source association before benchmark inclusion.
GEM_GIPT,L100000102539,Cauvery Power Gummidipoondi captive power station,thermal_power,India,Tamil Nadu,13.423182,80.066316,operating,HIGH,Global Energy Monitor Global Integrated Power Tracker,https://globalenergymonitor.org/projects/global-integrated-power-tracker,NEEDS_REVIEW,Operating India thermal-power facility from GEM GIPT. Confirm FIRMS-source association before benchmark inclusion.
GEM_GIPT,L100000102137,Chakabura power station,thermal_power,India,Chhattisgarh,22.393653,82.553249,operating,HIGH,Global Energy Monitor Global Integrated Power Tracker,https://globalenergymonitor.org/projects/global-integrated-power-tracker,NEEDS_REVIEW,Operating India thermal-power facility from GEM GIPT. Confirm FIRMS-source association before benchmark inclusion.
GEM_GIPT,L100000102523,Chanderiya Smelter power station,thermal_power,India,Rajasthan,24.963223,74.668532,operating,HIGH,Global Energy Monitor Global Integrated Power Tracker,https://globalenergymonitor.org/projects/global-integrated-power-tracker,NEEDS_REVIEW,Operating India thermal-power facility from GEM GIPT. Confirm FIRMS-source association before benchmark inclusion.
GEM_GIPT,L100000102523,Chanderiya Smelter power station,thermal_power,India,Rajasthan,24.963223,74.668532,operating,HIGH,Global Energy Monitor Global Integrated Power Tracker,https://globalenergymonitor.org/projects/global-integrated-power-tracker,NEEDS_REVIEW,Operating India thermal-power facility from GEM GIPT. Confirm FIRMS-source association before benchmark inclusion.
GEM_GIPT,L100000102523,Chanderiya Smelter power station,thermal_power,India,Rajasthan,24.963223,74.668532,operating,HIGH,Global Energy Monitor Global Integrated Power Tracker,https://globalenergymonitor.org/projects/global-integrated-power-tracker,NEEDS_REVIEW,Operating India thermal-power facility from GEM GIPT. Confirm FIRMS-source association before benchmark inclusion.
GEM_GIPT,L100000102388,Chandrapur Thermal Power Station,thermal_power,India,Maharashtra,20.0063,79.29,operating,HIGH,Global Energy Monitor Global Integrated Power Tracker,https://globalenergymonitor.org/projects/global-integrated-power-tracker,NEEDS_REVIEW,Operating India thermal-power facility from GEM GIPT. Confirm FIRMS-source association before benchmark inclusion.
GEM_GIPT,L100000102388,Chandrapur Thermal Power Station,thermal_power,India,Maharashtra,20.0063,79.29,operating,HIGH,Global Energy Monitor Global Integrated Power Tracker,https://globalenergymonitor.org/projects/global-integrated-power-tracker,NEEDS_REVIEW,Operating India thermal-power facility from GEM GIPT. Confirm FIRMS-source association before benchmark inclusion.
GEM_GIPT,L100000102388,Chandrapur Thermal Power Station,thermal_power,India,Maharashtra,20.0063,79.29,operating,HIGH,Global Energy Monitor Global Integrated Power Tracker,https://globalenergymonitor.org/projects/global-integrated-power-tracker,NEEDS_REVIEW,Operating India thermal-power facility from GEM GIPT. Confirm FIRMS-source association before benchmark inclusion.
GEM_GIPT,L100000102388,Chandrapur Thermal Power Station,thermal_power,India,Maharashtra,20.0063,79.29,operating,HIGH,Global Energy Monitor Global Integrated Power Tracker,https://globalenergymonitor.org/projects/global-integrated-power-tracker,NEEDS_REVIEW,Operating India thermal-power facility from GEM GIPT. Confirm FIRMS-source association before benchmark inclusion.
GEM_GIPT,L100000102388,Chandrapur Thermal Power Station,thermal_power,India,Maharashtra,20.0063,79.29,operating,HIGH,Global Energy Monitor Global Integrated Power Tracker,https://globalenergymonitor.org/projects/global-integrated-power-tracker,NEEDS_REVIEW,Operating India thermal-power facility from GEM GIPT. Confirm FIRMS-source association before benchmark inclusion.
GEM_GIPT,L100000102388,Chandrapur Thermal Power Station,thermal_power,India,Maharashtra,20.0063,79.29,operating,HIGH,Global Energy Monitor Global Integrated Power Tracker,https://globalenergymonitor.org/projects/global-integrated-power-tracker,NEEDS_REVIEW,Operating India thermal-power facility from GEM GIPT. Confirm FIRMS-source association before benchmark inclusion.
GEM_GIPT,L100000102388,Chandrapur Thermal Power Station,thermal_power,India,Maharashtra,20.0063,79.29,operating,HIGH,Global Energy Monitor Global Integrated Power Tracker,https://globalenergymonitor.org/projects/global-integrated-power-tracker,NEEDS_REVIEW,Operating India thermal-power facility from GEM GIPT. Confirm FIRMS-source association before benchmark inclusion.
GEM_GIPT,L100000102389,Chandrapur Works power station,thermal_power,India,Maharashtra,20.3693717,78.8828903,operating,HIGH,Global Energy Monitor Global Integrated Power Tracker,https://globalenergymonitor.org/projects/global-integrated-power-tracker,NEEDS_REVIEW,Operating India thermal-power facility from GEM GIPT. Confirm FIRMS-source association before benchmark inclusion.
GEM_GIPT,L100000102252,Chandrapura power station,thermal_power,India,Jharkhand,23.7412565,86.1202088,operating,HIGH,Global Energy Monitor Global Integrated Power Tracker,https://globalenergymonitor.org/projects/global-integrated-power-tracker,NEEDS_REVIEW,Operating India thermal-power facility from GEM GIPT. Confirm FIRMS-source association before benchmark inclusion.
GEM_GIPT,L100000102252,Chandrapura power station,thermal_power,India,Jharkhand,23.7412565,86.1202088,operating,HIGH,Global Energy Monitor Global Integrated Power Tracker,https://globalenergymonitor.org/projects/global-integrated-power-tracker,NEEDS_REVIEW,Operating India thermal-power facility from GEM GIPT. Confirm FIRMS-source association before benchmark inclusion.
GEM_GIPT,L100000102540,Chennai power station,thermal_power,India,Tamil Nadu,13.437422,80.09788,operating,HIGH,Global Energy Monitor Global Integrated Power Tracker,https://globalenergymonitor.org/projects/global-integrated-power-tracker,NEEDS_REVIEW,Operating India thermal-power facility from GEM GIPT. Confirm FIRMS-source association before benchmark inclusion.
GEM_GIPT,L100000102540,Chennai power station,thermal_power,India,Tamil Nadu,13.437422,80.09788,operating,HIGH,Global Energy Monitor Global Integrated Power Tracker,https://globalenergymonitor.org/projects/global-integrated-power-tracker,NEEDS_REVIEW,Operating India thermal-power facility from GEM GIPT. Confirm FIRMS-source association before benchmark inclusion.
GEM_GIPT,L100000102540,Chennai power station,thermal_power,India,Tamil Nadu,13.437422,80.09788,operating,HIGH,Global Energy Monitor Global Integrated Power Tracker,https://globalenergymonitor.org/projects/global-integrated-power-tracker,NEEDS_REVIEW,Operating India thermal-power facility from GEM GIPT. Confirm FIRMS-source association before benchmark inclusion.
