source_id,reference_id,facility_name,subclass,country,state,latitude,longitude,status_2025,coordinate_quality,coordinate_source,source_url,review_status,review_notes
WorldBank_GFMR_2025,WB_INDIA_FLARE_0050,ONSHORE,gas_flare,India,,27.37056367,95.44434163,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0051,ONSHORE,gas_flare,India,,27.26761204,95.36721269,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0052,ONSHORE,gas_flare,India,,27.32565891,95.27723003,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0053,ONSHORE,gas_flare,India,,27.33390075,95.26741281,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0054,ONSHORE,gas_flare,India,,27.30247555,95.39519507,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0055,ONSHORE,gas_flare,India,,27.39357275,95.43466011,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0056,ONSHORE,gas_flare,India,,27.31823813,95.26660668,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0057,ONSHORE,gas_flare,India,,27.32492002,95.29954028,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0058,ONSHORE,gas_flare,India,,27.37404329,95.35317369,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0059,ONSHORE,gas_flare,India,,27.37907328,95.33431854,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0060,ONSHORE,gas_flare,India,,27.38108687,95.23966804,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0061,ONSHORE,gas_flare,India,,27.22446627,95.38770226,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0062,ONSHORE,gas_flare,India,,15.96348054,80.93858512,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0063,ONSHORE,gas_flare,India,,21.94779479,72.55693652,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0064,OFFSHORE,gas_flare,India,,20.59984771,72.03609805,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
