site_id,model_b_state,confidence,reason,days_since_last,active_days_30,active_days_90,active_days_180,active_days_365,as_of_date
INDIA_PROMOTED_000129,DORMANT,MEDIUM,No detection for >90d,92,0,0,1,1,2026-09-03
INDIA_PROMOTED_000130,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,89,0,1,2,2,2026-09-03
INDIA_PROMOTED_000131,DORMANT,MEDIUM,No detection for >90d,92,0,0,1,1,2026-09-03
INDIA_PROMOTED_000132,DORMANT,MEDIUM,No detection for >90d,92,0,0,1,1,2026-09-03
INDIA_PROMOTED_000133,DORMANT,MEDIUM,No detection for >90d,91,0,0,2,2,2026-09-03
INDIA_PROMOTED_000134,DORMANT,MEDIUM,No detection for >90d,92,0,0,1,1,2026-09-03
INDIA_PROMOTED_000135,DORMANT,MEDIUM,No detection for >90d,92,0,0,1,1,2026-09-03
INDIA_PROMOTED_000136,DORMANT,MEDIUM,No detection for >90d,92,0,0,1,1,2026-09-03
INDIA_PROMOTED_000137,DORMANT,MEDIUM,No detection for >90d,91,0,0,2,2,2026-09-03
INDIA_PROMOTED_000138,DORMANT,MEDIUM,No detection for >90d,92,0,0,1,1,2026-09-03
INDIA_PROMOTED_000139,DORMANT,MEDIUM,No detection for >90d,92,0,0,1,1,2026-09-03
INDIA_PROMOTED_000140,DORMANT,MEDIUM,No detection for >90d,92,0,0,1,1,2026-09-03
INDIA_PROMOTED_000141,DORMANT,MEDIUM,No detection for >90d,92,0,0,1,1,2026-09-03
INDIA_PROMOTED_000142,DORMANT,MEDIUM,No detection for >90d,92,0,0,1,1,2026-09-03
INDIA_PROMOTED_000143,DORMANT,MEDIUM,No detection for >90d,92,0,0,1,1,2026-09-03
INDIA_PROMOTED_000144,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,87,0,1,2,2,2026-09-03
INDIA_PROMOTED_000145,DORMANT,MEDIUM,No detection for >90d,91,0,0,2,2,2026-09-03
INDIA_PROMOTED_000146,PERSISTENT,MEDIUM,Currently active with >=90d history and repeated recent activity,0,4,6,7,7,2026-09-03
INDIA_PROMOTED_000147,PERSISTENT,HIGH,Currently active with >=90d history and repeated recent activity,0,4,13,16,16,2026-09-03
INDIA_PROMOTED_000148,PERSISTENT,HIGH,Currently active with >=90d history and repeated recent activity,0,9,28,31,31,2026-09-03
INDIA_PROMOTED_000149,DORMANT,MEDIUM,No detection for >90d,92,0,0,1,1,2026-09-03
INDIA_PROMOTED_000150,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,85,0,1,3,3,2026-09-03
INDIA_PROMOTED_000151,DORMANT,MEDIUM,No detection for >90d,92,0,0,1,1,2026-09-03
INDIA_PROMOTED_000152,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,15,2,11,14,14,2026-09-03
INDIA_PROMOTED_000153,PERSISTENT,HIGH,Currently active with >=90d history and repeated recent activity,0,13,40,43,43,2026-09-03
INDIA_PROMOTED_000154,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,34,0,12,13,13,2026-09-03
INDIA_PROMOTED_000155,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,24,1,2,3,3,2026-09-03
INDIA_PROMOTED_000156,DORMANT,MEDIUM,No detection for >90d,92,0,0,1,1,2026-09-03
INDIA_PROMOTED_000157,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,89,0,1,2,2,2026-09-03
INDIA_PROMOTED_000158,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,86,0,1,2,2,2026-09-03
INDIA_PROMOTED_000159,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000160,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000161,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000162,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000163,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000164,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000165,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000166,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000167,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000168,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000169,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000170,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000171,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,15,1,14,16,16,2026-09-03
INDIA_PROMOTED_000172,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000173,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,12,4,13,14,14,2026-09-03
INDIA_PROMOTED_000174,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000175,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000176,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000177,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000178,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,90,0,0,2,2,2026-09-03
INDIA_PROMOTED_000179,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000180,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,70,0,8,9,9,2026-09-03
INDIA_PROMOTED_000181,PERSISTENT,HIGH,Currently active with >=90d history and repeated recent activity,0,5,17,18,18,2026-09-03
INDIA_PROMOTED_000182,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000183,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000184,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000185,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000186,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000187,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,45,0,1,2,2,2026-09-03
INDIA_PROMOTED_000188,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,89,0,1,2,2,2026-09-03
INDIA_PROMOTED_000189,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000190,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000191,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000192,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000193,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000194,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000195,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000196,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000197,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,8,3,18,20,20,2026-09-03
INDIA_PROMOTED_000198,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,68,0,5,6,6,2026-09-03
INDIA_PROMOTED_000199,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,15,2,6,8,8,2026-09-03
INDIA_PROMOTED_000200,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,36,0,6,7,7,2026-09-03
INDIA_PROMOTED_000201,PERSISTENT,HIGH,Currently active with >=90d history and repeated recent activity,0,7,20,21,21,2026-09-03
INDIA_PROMOTED_000202,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,12,4,17,18,18,2026-09-03
INDIA_PROMOTED_000203,DORMANT,MEDIUM,No detection for >90d,91,0,0,1,1,2026-09-03
INDIA_PROMOTED_000204,PERSISTENT,HIGH,Currently active with >=90d history and repeated recent activity,2,7,30,32,32,2026-09-03
INDIA_PROMOTED_000205,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,90,0,0,2,2,2026-09-03
INDIA_PROMOTED_000206,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,90,0,0,1,1,2026-09-03
INDIA_PROMOTED_000207,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,90,0,0,1,1,2026-09-03
INDIA_PROMOTED_000208,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,90,0,0,1,1,2026-09-03
INDIA_PROMOTED_000209,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,86,0,1,2,2,2026-09-03
INDIA_PROMOTED_000210,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,90,0,0,1,1,2026-09-03
INDIA_PROMOTED_000211,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,88,0,1,2,2,2026-09-03
INDIA_PROMOTED_000212,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,87,0,1,2,2,2026-09-03
INDIA_PROMOTED_000213,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,90,0,0,1,1,2026-09-03
INDIA_PROMOTED_000214,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,90,0,0,1,1,2026-09-03
INDIA_PROMOTED_000215,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,90,0,0,1,1,2026-09-03
INDIA_PROMOTED_000216,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,90,0,0,1,1,2026-09-03
INDIA_PROMOTED_000217,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,90,0,0,1,1,2026-09-03
INDIA_PROMOTED_000218,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,90,0,0,1,1,2026-09-03
INDIA_PROMOTED_000219,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,90,0,0,1,1,2026-09-03
INDIA_PROMOTED_000220,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,90,0,0,1,1,2026-09-03
INDIA_PROMOTED_000221,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,90,0,0,1,1,2026-09-03
INDIA_PROMOTED_000222,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,90,0,0,1,1,2026-09-03
INDIA_PROMOTED_000223,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,90,0,0,1,1,2026-09-03
INDIA_PROMOTED_000224,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,32,0,16,17,17,2026-09-03
INDIA_PROMOTED_000225,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,90,0,0,1,1,2026-09-03
INDIA_PROMOTED_000226,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,90,0,0,1,1,2026-09-03
INDIA_PROMOTED_000227,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,90,0,0,1,1,2026-09-03
INDIA_PROMOTED_000228,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,90,0,0,1,1,2026-09-03
INDIA_PROMOTED_000229,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,85,0,2,3,3,2026-09-03
INDIA_PROMOTED_000230,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,90,0,0,1,1,2026-09-03
